p_swp,h2_rb,h2_min,h2_max
0.0025,878.46885111413,293.086072358846,782.882598820005
0.005,621.87443027244,204.720285334156,563.509778667869
0.0075,508.334418584725,174.911854832076,459.381110265333
0.01,440.731115439345,152.659618606865,396.359268765821
0.015,360.67711815195,122.967600441174,318.303398785141
0.02,313.072030089097,104.717298882293,283.751104845723
0.025,280.665408745626,95.6434657166459,251.604403484625
0.03,256.804433828454,86.3701854232352,234.117078997092
0.04,223.437308789492,73.4910571181611,198.443245006417
0.05,200.790075602953,66.1106312345485,180.574620787802
0.06,184.167314200749,60.3581679893224,166.697737329118
0.07,171.32464556174,55.8566316279493,150.301225754819
0.08,161.036632641478,52.6008619884616,143.689752491599
0.09,152.570213788503,49.6801357408902,134.344699750658
0.1,145.456546804415,47.4170365761414,128.232465642228
0.12,134.119412514918,42.5750720796366,119.707479798779
0.14,125.445799625724,39.5765215870908,109.813856110948
0.16,118.574313938132,37.4214817951751,105.728004027921
0.18,112.990353860476,34.6492884202413,98.1172395636247
0.2,108.365334665663,33.3637313558145,95.8976457289571
0.22,104.478520860904,32.0557321390815,92.4584561019008
0.24,101.175587789939,30.4984760115347,88.4385955823792
0.26,98.3451234000069,29.434058489932,84.7314529782164
0.28,95.9045634416301,28.1428769079482,83.1600729072664
0.3,93.7913915948637,26.9703173120652,81.8303277447528
0.34,90.3649949397513,26.0220667474438,78.2753524256065
0.38,87.7915731930404,24.633987079982,75.3267620335443
0.42,85.8974591944632,23.1700774305161,72.9957700845456
0.46,84.5707635590444,21.978428217511,71.3468750327921
0.5,83.7405331588254,21.502617145531,70.0247240258105
0.54,83.3652996987396,20.4292092432402,68.8271236278054
0.58,83.4270352264608,19.9126386264016,68.4560031929273
0.62,83.9286757519583,19.3274007600553,68.0360253879403
0.66,84.8945182481492,18.5952900303449,67.5807991378643
0.7,86.3735999920822,18.1448599625156,67.6128578364576
0.74,88.4470247528577,17.495871783654,67.8948941969568
0.78,91.2415392597952,17.1875650533539,68.7958820054672
0.82,94.9543082632608,16.8439679434638,69.716339713916
0.84,97.2466655054702,16.6552459714519,70.1267856271846
0.86,99.8998403914287,16.4501482840925,70.8692451405459
0.88,102.986870718362,16.3400250524768,71.8318695600107
0.9,106.605351529017,16.074939256865,72.8912863569235
0.92,110.888863110091,16.0206991413956,74.164238168392
0.94,116.025682424981,15.7782897123962,75.8549097194436
0.96,122.290973897554,15.6633354539938,77.6997500199269
0.98,130.105656088169,15.5019701922754,79.6170620811945
1,140.152703458367,15.3645035005548,82.4011661401222
